ip_location,content,contained_keywords,has_keyword,negative_sentiment_score
,【：园长免职，罚款2.2万元】近日，四川宜宾，临港经开区爱德立幼儿园被曝使用问题食材引发关注。4月2日，宜宾临港经开区通报称：所涉食材经送检未发现问题，幼儿已全部排除食源性疾病爆发可能性。幼儿园园长被责令免职，厨房工人被解除劳动合同，所涉幼儿全部复学。宜宾市市场监管局将对爱德立幼儿园予以警告、责令整改，并作出罚款2.2万元的行政处罚。@点时新闻 http://t.cn/A66ljLvo,"['宜宾', '四川']",True,0.34764277935028076
,【：园长免职，罚款2.2万元】近日，四川宜宾，临港经开区爱德立幼儿园被曝使用问题食材引发关注。4月2日，宜宾临港经开区通报称：所涉食材经送检未发现问题，幼儿已全部排除食源性疾病爆发可能性。幼儿园园长被责令免职，厨房工人被解除劳动合同，所涉幼儿全部复学。宜宾市市场监管局将对爱德立幼儿园予以警告、责令整改，并作出罚款2.2万元的行政处罚。 @点时新闻http://t.cn/A66ljLvo,"['宜宾', '四川']",True,0.34764277935028076
,【：园长免职，罚款2.2万元】近日，四川宜宾，临港经开区爱德立幼儿园被曝使用问题食材引发关注。4月2日，宜宾临港经开区通报称：所涉食材经送检未发现问题，幼儿已全部排除食源性疾病爆发可能性。幼儿园园长被责令免职，厨房工人被解除劳动合同，所涉幼儿全部复学。宜宾市市场监管局将对爱德立幼儿园予以警告、责令整改，并作出罚款2.2万元的行政处罚。 @点时新闻 http://t.cn/A66ljLvo,"['宜宾', '四川']",True,0.34764277935028076
,【：园长免职，罚款2.2万元】近日，四川宜宾，临港经开区爱德立幼儿园被曝使用问题食材引发关注。4月2日，宜宾临港经开区通报称：所涉食材经送检未发现问题，幼儿已全部排除食源性疾病爆发可能性。幼儿园园长被责令免职，厨房工人被解除劳动合同，所涉幼儿全部复学。宜宾市市场监管局将对爱德立幼儿园予以警告、责令整改，并作出罚款2.2万元的行政处罚。 @点时新闻 http://t.cn/A66ljLvo,"['宜宾', '四川']",True,0.34764277935028076
,【：园长免职，罚款2.2万元】近日，四川宜宾，临港经开区爱德立幼儿园被曝使用问题食材引发关注。4月2日，宜宾临港经开区通报称：所涉食材经送检未发现问题，幼儿已全部排除食源性疾病爆发可能性。幼儿园园长被责令免职，厨房工人被解除劳动合同，所涉幼儿全部复学。宜宾市市场监管局将对爱德立幼儿园予以警告、责令整改，并作出罚款2.2万元的行政处罚。#蓝V视界# @点时新闻 http://t.cn/A66ljLvo,"['宜宾', '四川']",True,0.31497740745544434
,#彩云之旅[超话]##彩云之旅# 【：园长免职，罚款2.2万元】近日，四川宜宾，临港经开区爱德立幼儿园被曝使用问题食材引发关注。4月2日，宜宾临港经开区通报称：所涉食材经送检未发现问题，幼儿已全部排除食源性疾病爆发可能性。幼儿园园长被责令免职，厨房工人被解除劳动合同，所涉幼儿全部复学。宜宾市市场监管局将对爱德立幼儿园予以警告、责令整改，并作出罚款2.2万元的行政处罚。 http://t.cn/A66ljLvo ,"['宜宾', '四川']",True,0.38455450534820557
,#梦游云南[超话]##梦游云南# 【：园长免职，罚款2.2万元】近日，四川宜宾，临港经开区爱德立幼儿园被曝使用问题食材引发关注。4月2日，宜宾临港经开区通报称：所涉食材经送检未发现问题，幼儿已全部排除食源性疾病爆发可能性。幼儿园园长被责令免职，厨房工人被解除劳动合同，所涉幼儿全部复学。宜宾市市场监管局将对爱德立幼儿园予以警告、责令整改，并作出罚款2.2万元的行政处罚。 http://t.cn/A66ljLvo ,"['宜宾', '四川', '云南']",True,0.3724168539047241
,#探食云南[超话]##探食云南# 【：园长免职，罚款2.2万元】近日，四川宜宾，临港经开区爱德立幼儿园被曝使用问题食材引发关注。4月2日，宜宾临港经开区通报称：所涉食材经送检未发现问题，幼儿已全部排除食源性疾病爆发可能性。幼儿园园长被责令免职，厨房工人被解除劳动合同，所涉幼儿全部复学。宜宾市市场监管局将对爱德立幼儿园予以警告、责令整改，并作出罚款2.2万元的行政处罚。http://t.cn/A66ljLvo ,"['宜宾', '四川', '云南']",True,0.375335693359375
,气死，食品为什么出这么多问题之后，还有人不重视，就想着💰💰💰…… ,[],False,0.047621726989746094
,"【：园长免职，罚款2.2万元】近日，四川宜宾，临港经开区爱德立幼儿园被曝使用问题食材引发关注。

4月2日，宜宾临港经开区通报称：所涉食材经送检未发现问题，幼儿已全部排除食源性疾病爆发可能性。

幼儿园园长被责令免职，厨房工人被解除劳动合同，所涉幼儿全部复学。

宜宾市市场监管局将对爱德立幼儿园予以警告、责令整改，并作出罚款2.2万元的行政处罚。http://t.cn/A66ljLvo","['宜宾', '四川']",True,0.3346831798553467
